BrefID,Special Collections
230570,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230874,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230928,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230937,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
231026,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
231117,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
231840,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
231862,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
231863,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
232472,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
232473,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
232524,"European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""LifeWatch Species Information Backbone"""
232720,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
232790,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"""
232976,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
233208,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
233347,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
233558,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
233593,"Bio-ORACLE, ""Lifewatch acknowledged"""
233611,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
233773,"Lifewatch acknowledged, ""LifeWatch Observatory"""
233971,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234014,"Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory"""
234038,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234068,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234079,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234087,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234092,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234145,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234151,"Lifewatch acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234152,Lifewatch acknowledged
234162,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234171,"Lifewatch acknowledged, ""LifeWatch Observatory"""
234289,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234314,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234468,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234476,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234477,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234478,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234482,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234483,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234484,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234490,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234491,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
234589,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""Lifewatch acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234613,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
234941,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
