event_name,year,venue,date,participant_number,#participants SCIENCE,#participants INDUSTRY,#participants CIVIL SOCIETY,#participants POLICY,Participantlist,event_role
LifeWatch-WoRMS Porifera Editor Workshop,2021,Online,June 7-11 2021,19,19,0,0,0,yes,Organization
WoRMS Steering Committee Meeting,2021,Online,July 8 2021,11,11,0,0,0,yes,Organization
Second workshop of the sDevTrait Working Group,2021,Hybrid (online + Leipzig),August 31 - September 3rd,15,15,0,0,0,yes,Presentation
Fishbase - SeaLifeBase Symposium,2021,Online,September 6-7 2021,100,95,0,0,5,yes,Presentation
CESP 2020-006: National Portals Workshop: taxonomic databases species data information and visualization. Webinar 3: International biodiversity taxonomic databases,2021,Online,September 28 2021,28,28,0,0,0,NA,Presentation
WoRMS Steering Committee Meeting,2021,Online,September 29 2021,12,12,0,0,0,yes,Organization
"Theatervoorstelling ""Hoe klinkt de Noordzee onder water? En hoe geluidsvervuild is ze?""",2021,Kiem Festival @ Grote Post Oostende,October 3 2021,NA,0,0,NA,0,NA,Input for concept
4-Oceans Data Management Workshop,2021,Online,October 8 2021,19,19,0,0,0,yes,Presentation
ETN Training Webinar,2021,Online,October 13 2021,73,73,NA,NA,NA,NA,Organization + Presentation
7th International Bio-Logging Symposium,2021,Online,October 18-22 2021,NA,NA,NA,NA,NA,NA,Presentation
De Blauwe Cluster Infosessie publiek-private datasets,2021,VAC Brugge,October 21 2021,NA,NA,NA,NA,NA,NA,Presentation
LifeWatch Biodiversity Day,2021,Gent,October 28 2021,NA,NA,NA,NA,NA,NA,Organization
Lezing: Telemetrie: de whereabouts van vissen,2021,De Panne,November 4 2021,12,0,0,12,0,NA,Presentation
OTN Symposium 2021,2021,Online,November 15-16 2021,96,96,0,0,0,NA,Presentation
SeaWatch-B training,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dag van de Wetenschap - Santé Zee,2021,Oostende,November 28 2021,NA,0,0,NA,0,NA,Organization
Biodiversity Christmas Market,2021,Brussels,December 15 2021,NA,NA,NA,NA,NA,NA,NA
